Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Doll type (product.metafields.shopify.doll-type),Recommended age group (product.metafields.shopify.recommended-age-group),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Weight Unit,Variant Tax Code,Cost per item,Status
sakura,Sakura,"<div>Delicate and graceful, Sakura embodies the beauty of cherry blossoms in spring. Hand-painted features with meticulous attention to detail, dressed in a flowing pink ensemble with cherry blossom accents.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"bestseller, girl",true,Title,Default Title,,,,,,,,HIRA-SAK-001,453.59237,shopify,deny,manual,248.00,,true,true,,,,,"""",false,Sakura - Premium Collectible Doll,Hand-painted doll with cherry blossom styling,pink,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
luna,Luna,"<div>Mysterious and elegant, Luna captures the essence of moonlit nights. Features ethereal styling with celestial-inspired accessories and a dreamy color palette.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,girl,true,Title,Default Title,,,,,,,,HIRA-LUN-002,453.59237,shopify,deny,manual,268.00,,true,true,,,,,"""",false,Luna - Premium Collectible Doll,Ethereal doll with celestial accessories,blue,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
violet,Violet,"<div>Bold and sophisticated, Violet makes a statement with her deep purple tones and edgy fashion sense. Limited edition piece with unique hand-crafted details.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"limited, girl",true,Title,Default Title,,,,,,,,HIRA-VIO-003,453.59237,shopify,deny,manual,258.00,,true,true,,,,,"""",false,Violet - Limited Edition Collectible Doll,Bold limited edition doll with unique details,purple,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
mochi,Mochi,"<div>Sweet and playful, Mochi brings joy with her soft pastel styling and adorable accessories. Perfect for collectors who love kawaii aesthetic.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,girl,true,Title,Default Title,,,,,,,,HIRA-MOC-004,453.59237,shopify,deny,manual,238.00,,true,true,,,,,"""",false,Mochi - Kawaii Collectible Doll,Sweet kawaii aesthetic collectible doll,beige,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
ren,Ren,"<div>Charismatic and modern, Ren blends streetwear aesthetics with traditional craftsmanship. Features contemporary styling with attention to every detail.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"new, boy",true,Title,Default Title,,,,,,,,HIRA-REN-005,453.59237,shopify,deny,manual,278.00,,true,true,,,,,"""",false,Ren - Modern Collectible Doll,Contemporary streetwear style collectible doll,black,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
kai,Kai,"<div>Sophisticated and refined, Kai represents the perfect balance of elegance and edge. Premium craftsmanship with luxurious details.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"new, boy",true,Title,Default Title,,,,,,,,HIRA-KAI-006,453.59237,shopify,deny,manual,288.00,,true,true,,,,,"""",false,Kai - Premium Collectible Doll,Sophisticated premium collectible doll,white,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
yuki,Yuki,"<div>Cool and mysterious, Yuki embodies winter elegance with icy tones and minimalist styling. A collector's favorite.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"new, boy",true,Title,Default Title,,,,,,,,HIRA-YUK-007,453.59237,shopify,deny,manual,268.00,,true,true,,,,,"""",false,Yuki - Winter Collectible Doll,Winter elegance collectible doll,white,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
haru,Haru,"<div>Bright and energetic, Haru captures the spirit of spring with vibrant styling and cheerful details. Premium edition with unique features.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"new, boy",true,Title,Default Title,,,,,,,,HIRA-HAR-008,453.59237,shopify,deny,manual,298.00,,true,true,,,,,"""",false,Haru - Premium Spring Collectible Doll,Vibrant spring edition collectible doll,orange,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
sora,Sora,"<div>Dreamy and artistic, Sora features celestial-inspired design elements and ethereal styling. Perfect for those who appreciate unique aesthetics.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,"new, boy",true,Title,Default Title,,,,,,,,HIRA-SOR-009,453.59237,shopify,deny,manual,258.00,,true,true,,,,,"""",false,Sora - Artistic Collectible Doll,Celestial-inspired artistic collectible doll,blue,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
rose,Rose,"<div>Romantic and timeless, Rose features classic beauty with modern touches. Elegant styling with floral accents.</div>",Hirachu,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",Dolls,girl,true,Title,Default Title,,,,,,,,HIRA-ROS-010,453.59237,shopify,deny,manual,248.00,,true,true,,,,,"""",false,Rose - Classic Collectible Doll,Romantic timeless collectible doll,pink,fashion,13-18-years; 18-years-or-older; adults,plastic,lb,,,active
